Nome,CNPJ,Cidade,Contato,Telefone,Equipamento
Comercial Sergio Moveis de Guaíra,11.111.111/1111-11,Guaíra - SP,Sergio,(11)99999-0002,[14/01/2025] - [1346] - Spark DNA
NPG Comercio de Móveis Ltda,11.111.111/1111-11,Amirante tamandaré - PR,Patricia,(11)99999-0003,[16/01/2025] - [1360] - Turbo Dna + Edge 7 + coletor
NPG Comercio de Móveis Ltda,11.111.111/1111-11,Amirante tamandaré - PR,Patricia,(11)99999-0004,[16/01/2025] - [1360] - Turbo Dna + Edge 7 + coletor
Blanco Y Espino,11.111.111/1111-11,Departamento de Montevevideo - UR,Alejandro,(11)99999-0005,[16/01/2025] - [1385] - Mach Door ATC + coletor
Marcenaria Boos,11.111.111/1111-11,Guabiruba - SC,Elisiane,(11)99999-0006,[20/01/2025] - [1373] - Turbo DNA
Luiz Sergio soares bueno,11.111.111/1111-11,Guaramirim - SC,Maico,(11)99999-0007,[15/01/2025] - [1344] - Turbo + edge 5 
Diego Aparecido de Souza,11.111.111/1111-11,Jaraguá do Sul - SC,Diego,(11)99999-0008,[22/01/2025] - [1342] - Coletor 5CV
Stetka Industria e Comercio de Moveis Ltda Me,11.111.111/1111-11,Maua - SP,Alfredo,(11)99999-0009,[22/01/2025] - [1350] - Edge 6 a pronta entrega
Stetka Industria e Comercio de Moveis Ltda Me,11.111.111/1111-11,Maua - SP,Alfredo,(11)99999-0010,[22/01/2025] - [1350] - Edge 6 a pronta entrega
Stetka Industria e Comercio de Moveis Ltda Me,11.111.111/1111-11,Maua - SP,Alfredo,(11)99999-0011,[29/01/2025] - [1372] - Coletor 10CV
Reformart Marcenaria,11.111.111/1111-11,Cabedelo - PB,Tiago,(11)99999-0012,[28/01/2025] - [1375] - ATC-L dna  + edge 5
Bem Estar Planejados,11.111.111/1111-11,Mairipora - SP,Rodolfo,(11)99999-0013,[28/01/2025] - [1383] - turbo duo carga descarga + centrinho mach drill
Ernani ,11.111.111/1111-11,Pedro Leopoldo - MG,Ernani,(11)99999-0014,[28/01/2025] - [1371] - Mach Laser 1390
Ernani ,11.111.111/1111-11,Pedro Leopoldo - MG,Ernani,(11)99999-0015,[29/01/2025] - [1371] - Mach Laser 1390
Lato Tecnologia,11.111.111/1111-11,Chapeco - SC,Luis,(11)99999-0016,[30/01/2025] - [1379] - mach pro atc - l dna
Joel Elias Kubiak,11.111.111/1111-11,Itaiopolis - SC,Joel,(11)99999-0017,[23/01/2025] - [1348] - Commander + Coladeira Edge 7
V10 Colheita/ Mastercraft Ltda,11.111.111/1111-11,Rio Verde - GO,Whanathan,(11)99999-0018,[31/01/2025] - [1399] - Turbo Dna + Edge 8 turbo
V10 Colheita / Mastercraft Ltda,11.111.111/1111-11,Rio Verde - GO,Whanathan,(11)99999-0019,[31/01/2025] - [1399] - Turbo Dna + Edge 8 turbo
Jossf Instrumentos Musicais ,11.111.111/1111-11,Teresina - PI,Joaquim,(11)99999-0020,[31/01/2025] - [1411] - ATCL DNA
Arpa Marcenaria,11.111.111/1111-11,Porto Alegre  - RS,Ricardo ,(11)99999-0021,[31/01/2025] - [1389] - Edge 6 
Andretta Marcenaria,11.111.111/1111-11,Indaiatuba - SP,Cris,(11)99999-0022,[31/01/2025] - [1418] - Turbo DNA
Andretta Marcenaria,11.111.111/1111-11,Indaiatuba - SP,Cris,(11)99999-0023,[31/01/2025] - [1418] - Turbo DNA
Morada Portas,11.111.111/1111-11,Jaraguá do Sul - SC,Bruno,(11)99999-0024,[31/01/2025] - [1382] - Coletor 10CV
Morada Portas,11.111.111/1111-11,Jaraguá do Sul - SC,Bruno,(11)99999-0025,[31/01/2025] - [1382] - Coletor 10CV
Stilo Ambientes Planejados,11.111.111/1111-11,Seara  - SC,Juliano,(11)99999-0029,[03/02/2025] - [1398] - Turbo DUO DNA
HW Usinagens,11.111.111/1111-11,São jose dos pinhais - PR,Euclides,(11)99999-0030,[04/02/2025] - [1387] - Inversor 11KW
Paloschi Industria de Móveis ,11.111.111/1111-11,Botuverá - SC,Vilmar,(11)99999-0031,[05/02/2025] - [1391] - Comando DDCS Expert
Lineart HP Impressos Eirelli,11.111.111/1111-11,Blumenau - SC,Gilberto,(11)99999-0032,[05/02/2025] - [1419] - Mach Pro 5019 DNA
Atelier Gui Anna,11.111.111/1111-11,Timbó  - SC,Guilherme,(11)99999-0033,[13/02/2024] - [1431] - Mesa de descarga
Supermade,11.111.111/1111-11,Campina Grande do Sul - PR,Marcos,(11)99999-0034,[18/02/2024] - [1441] - ATCL DNA + coletor
Natalia Fabiana Gomes da Silva,11.111.111/1111-11,Guarulhos  - SP,Celso,(11)99999-0035,[19/02/2025] - [1549] - Turbo Duo DNA com Carregamento + Centrinho
Natalia Fabiana Gomes da Silva,11.111.111/1111-11,Guarulhos  - SP,Celso,(11)99999-0036,[19/02/2025] - [1549] - Turbo Duo DNA com Carregamento + Centrinho
Jucemar Antonio Chiodi Ltda,11.111.111/1111-11,Capão da Canoa - RS,Jucemar,(11)99999-0037,[12/02/2024] - [1428] - Turbo DNA + coletor
Jucemar Antonio Chiodi Ltda,11.111.111/1111-11,Capão da Canoa - RS,Jucemar,(11)99999-0038,[12/02/2024] - [1428] - Turbo DNA + coletor
Kr Moveis Planejados Ltda,11.111.111/1111-11,Goiania  - GO,Ronnyelson,(11)99999-0041,[21/02/2025] - [1445] - Edge 7
Dix Industria de Estofados,11.111.111/1111-11,Frederico Westphalen - RS,alisson,(11)99999-0042,[20/02/2025] - [1451] - Maquina de corte CNC Spark 6016 esp dix
Moveis Ventura Ltda Me,11.111.111/1111-11,Corupá - SC,Thiago,(11)99999-0043,[26/02/2025] - [1467] - Turbo DNA
Moveis Ventura Ltda Me,11.111.111/1111-11,Corupá - SC,Thiago,(11)99999-0044,[26/02/2025] - [1467] - Turbo DNA
excelencia comunicação visual,11.111.111/1111-11,Ceres - GO,Bruno,(11)99999-0045,[26/02/2025] - [1450] - 5019 DNA + coletor
